,open,close,high,low,volume,money
2015-11-17,6043.57,6026.08,6231.81,6012.0,8184799700.0,127168727048.0
2015-11-18,6026.73,5950.79,6062.37,5929.04,6460823200.0,92592402878.0
2015-11-19,5964.58,6045.71,6046.57,5938.85,4151500900.0,57340249766.0
2015-11-20,6038.0,6016.75,6062.75,5992.23,4346807100.0,57956160111.0
2015-11-23,6019.59,5988.19,6061.78,5974.2,3959463100.0,55906225244.0
2015-11-24,5966.88,6000.88,6014.88,5920.88,4184738300.0,57210577068.0
2015-11-25,5966.98,6028.57,6031.32,5943.87,4066633500.0,56951459513.0
2015-11-26,6055.02,5985.23,6105.35,5984.21,4149256100.0,60511560101.0
2015-11-27,5935.99,5678.66,5942.99,5646.72,5278110900.0,73136069263.0
2015-11-30,5652.21,5701.07,5741.68,5554.33,5243833400.0,62925996578.0
2015-12-01,5686.62,5686.49,5747.05,5628.46,3439320000.0,41293093080.0
2015-12-02,5678.84,6019.41,6034.4,5669.52,7569482300.0,90604047859.0
2015-12-03,5972.64,6035.8,6117.07,5923.07,8238226600.0,88560557385.0
2015-12-04,5965.32,5861.98,5975.89,5849.08,4457818400.0,51856524573.0
2015-12-07,5860.04,5849.86,5876.05,5807.87,2748955100.0,35329585207.0
2015-12-08,5812.68,5794.21,5858.18,5769.96,3109517400.0,40216435729.0
2015-12-09,5766.67,5797.41,5851.9,5764.67,2693456100.0,35604644191.0
2015-12-10,5804.19,5787.97,5931.55,5778.43,3479452300.0,48088004825.0
2015-12-11,5747.82,5763.87,5813.73,5694.06,3144422300.0,41554309062.0
2015-12-14,5699.39,6008.69,6017.67,5694.48,5315083200.0,78968811218.0
2015-12-15,5989.99,5897.04,5989.99,5882.26,4066314900.0,64403275667.0
2015-12-16,5918.91,5894.08,5955.48,5876.48,3164351000.0,48878912615.0
2015-12-17,5938.29,5961.28,6021.63,5908.47,4364300900.0,66347337627.0
2015-12-18,5942.61,5991.81,6124.87,5926.96,4888724600.0,63893352195.0
2015-12-21,5963.98,6164.69,6208.52,5956.16,6497679700.0,86598106390.0
2015-12-22,6149.0,6169.06,6181.59,6117.49,4621808700.0,64190173025.0
2015-12-23,6175.37,6215.92,6383.01,6162.98,7944322100.0,121923737552.0
2015-12-24,6192.68,6142.83,6211.99,6054.6,5133847600.0,75289917829.0
2015-12-25,6146.66,6168.02,6181.07,6117.89,2944693000.0,42861618135.0
2015-12-28,6189.32,5960.23,6199.42,5959.66,4486856700.0,62006163979.0
2015-12-29,5954.98,6027.34,6038.57,5954.98,2602296500.0,36996590061.0
2015-12-30,6022.58,6019.68,6024.38,5932.63,2719453900.0,39622049668.0
2015-12-31,6005.8,5986.76,6030.94,5953.71,2873416000.0,39391863996.0
2016-01-04,5961.88,5609.87,5961.88,5608.09,2982538600.0,38748199093.0
2016-01-05,5499.39,5649.89,5702.75,5488.26,4014126400.0,50879059072.0
2016-01-06,5632.93,5703.78,5717.13,5593.99,2963959200.0,38981074876.0
2016-01-07,5600.62,5377.53,5607.94,5359.14,963840800.0,11871584510.0
2016-01-08,5480.82,5467.49,5579.38,5299.53,4662130200.0,57946921428.0
2016-01-11,5355.41,5185.69,5390.48,5183.62,4183845800.0,49807633427.0
2016-01-12,5232.79,5225.01,5289.65,5193.72,3257392100.0,39919193007.0
2016-01-13,5279.57,5177.38,5279.79,5174.65,3176830800.0,39876159325.0
2016-01-14,5047.72,5241.36,5251.02,5038.98,3514465300.0,40786079583.0
2016-01-15,5207.47,5114.79,5236.35,5079.49,3039294600.0,36434753342.0
2016-01-18,5036.85,5110.39,5165.93,5032.94,2447709100.0,27335458160.0
2016-01-19,5123.37,5219.55,5237.76,5080.29,3043261200.0,37507512061.0
2016-01-20,5186.86,5134.59,5207.4,5101.49,2917067500.0,35898752522.0
2016-01-21,5091.53,5011.25,5205.11,5008.05,2876353200.0,32963638411.0
2016-01-22,5064.51,5054.27,5082.72,4972.9,2131654600.0,24418354312.0
2016-01-25,5064.58,5064.18,5085.02,5022.51,1871643900.0,20022825225.0
2016-01-26,5015.93,4786.63,5027.64,4769.14,3164598600.0,34183456611.0
2016-01-27,4806.15,4770.88,4837.41,4673.24,3425232500.0,34752093287.0
2016-01-28,4751.71,4700.1,4812.37,4661.96,2546775900.0,26610122093.0
2016-01-29,4707.53,4855.41,4886.98,4703.12,3362283900.0,35426480286.0
2016-02-01,4843.45,4768.62,4850.8,4721.42,2365354900.0,24405127717.0
2016-02-02,4763.14,4843.55,4873.39,4761.87,2238384600.0,23722356202.0
2016-02-03,4788.13,4799.52,4807.73,4746.94,1921113800.0,19448985131.0
2016-02-04,4827.04,4861.24,4882.12,4822.19,2216223000.0,24084733478.0
2016-02-05,4840.1,4822.36,4849.74,4810.94,1953489000.0,21668364790.0
2016-02-15,4691.95,4770.89,4795.93,4687.42,1667814300.0,17183101301.0
2016-02-16,4798.83,4907.63,4917.26,4797.43,2588740200.0,27291786398.0
2016-02-17,4900.08,4929.67,4940.21,4886.49,2513138800.0,26825093618.0
2016-02-18,4955.71,4920.91,5000.58,4915.49,2754727200.0,30172959258.0
2016-02-19,4910.0,4911.05,4935.22,4881.82,1913246500.0,19775436321.0
2016-02-22,4963.85,5042.97,5072.44,4929.8,3525043000.0,39886899403.0
2016-02-23,5035.59,4971.71,5035.59,4931.24,2373701500.0,26793995743.0
2016-02-24,4949.63,4988.43,4991.26,4911.11,2064491200.0,23296001223.0
2016-02-25,4978.77,4727.99,4978.77,4712.69,3594466600.0,35836215922.0
2016-02-26,4764.23,4775.2,4802.53,4715.11,2377694500.0,23577580077.0
2016-02-29,4755.09,4727.74,4758.57,4596.32,3429003500.0,31657731788.0
2016-03-01,4726.0,4800.84,4858.84,4689.31,2773326600.0,29023512639.0
2016-03-02,4817.68,4968.99,4975.55,4810.04,4171810700.0,43706427365.0
2016-03-03,4960.85,4990.8,4996.29,4937.46,3623532300.0,38059736019.0
2016-03-04,4969.58,5143.65,5164.57,4954.68,6992819100.0,68010226699.0
2016-03-07,5140.48,5111.93,5168.38,5097.34,3218754800.0,34144148630.0
2016-03-08,5095.99,5136.14,5142.98,4940.67,3228380100.0,32647016459.0
2016-03-09,5037.54,5130.47,5133.42,4993.93,3069310800.0,31302403455.0
2016-03-10,5078.11,5004.07,5110.64,5000.18,1899110800.0,19255806706.0
2016-03-11,4954.3,5030.27,5031.1,4944.83,2222083800.0,23933621174.0
2016-03-14,5051.44,5054.14,5156.72,5028.37,3366521700.0,37418394858.0
2016-03-15,5052.15,5088.62,5097.68,4994.54,2519900000.0,26866379418.0
2016-03-16,5063.53,5181.79,5196.2,5058.8,4830643200.0,49509172940.0
2016-03-17,5179.63,5183.05,5250.51,5126.79,3782509100.0,42444039378.0
2016-03-18,5203.34,5240.46,5284.52,5181.47,5588892000.0,63438649790.0
2016-03-21,5306.79,5433.53,5487.66,5300.49,8309966800.0,103280260881.0
2016-03-22,5404.85,5358.22,5450.35,5340.78,5348235700.0,71164505672.0
2016-03-23,5349.61,5387.13,5401.15,5321.96,4029407900.0,54039609971.0
2016-03-24,5337.93,5264.93,5337.93,5263.96,3469232900.0,46805409366.0
2016-03-25,5260.12,5297.51,5322.54,5258.6,2517584600.0,36183579078.0
2016-03-28,5304.12,5216.12,5338.17,5202.3,2718726000.0,34620447723.0
2016-03-29,5228.72,5196.61,5261.08,5173.9,2798329300.0,35867257389.0
2016-03-30,5247.73,5331.4,5338.92,5245.48,3779160200.0,46958520718.0
2016-03-31,5351.49,5322.93,5377.91,5300.2,3533216100.0,46096139502.0
2016-04-01,5317.79,5335.18,5336.66,5228.68,2977094200.0,36537519571.0
2016-04-05,5298.26,5375.37,5395.35,5281.51,3585215200.0,44767256900.0
2016-04-06,5339.91,5333.45,5363.83,5303.47,2580668100.0,31552544467.0
2016-04-07,5352.54,5258.77,5360.0,5256.56,2472562000.0,31424439725.0
2016-04-08,5222.24,5220.63,5241.87,5195.68,2408601000.0,30482688125.0
2016-04-11,5287.13,5293.35,5352.14,5287.13,3385721500.0,42015551702.0
2016-04-12,5289.46,5283.88,5297.95,5255.82,1925803700.0,22355412982.0
2016-04-13,5315.07,5359.9,5429.8,5315.07,4879610900.0,58385829257.0
2016-04-14,5388.63,5379.48,5407.47,5349.11,2332322100.0,28624928609.0
2016-04-15,5386.87,5391.15,5414.01,5364.43,2287236200.0,27609964142.0
2016-04-18,5347.63,5330.61,5362.54,5315.92,2400665600.0,29106159648.0
2016-04-19,5359.89,5350.51,5368.51,5322.36,1834372600.0,22858859915.0
