open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
2021-03-13 00:29:00,0.39320000,0.39349000,0.39270000,0.39297000,64508.30000000,1615566599999,25356.90737100,91,34863.50000000,13707.32428400,0
2021-03-13 00:30:00,0.39296000,0.39314000,0.39230000,0.39257000,79681.80000000,1615566659999,31297.45259400,94,22939.50000000,9009.85105600,0
2021-03-13 00:31:00,0.39275000,0.39280000,0.39185000,0.39205000,78630.80000000,1615566719999,30849.73358700,69,19441.60000000,7630.07569400,0
2021-03-13 00:32:00,0.39199000,0.39240000,0.39181000,0.39214000,39920.10000000,1615566779999,15648.14787100,59,16381.60000000,6422.58377700,0
2021-03-13 00:33:00,0.39227000,0.39227000,0.39121000,0.39178000,174779.70000000,1615566839999,68496.25304700,126,72494.80000000,28417.24551400,0
2021-03-13 00:34:00,0.39171000,0.39209000,0.39165000,0.39180000,35493.80000000,1615566899999,13906.69176600,55,16779.20000000,6575.92871900,0
2021-03-13 00:35:00,0.39165000,0.39192000,0.39138000,0.39141000,23707.90000000,1615566959999,9282.10091800,50,7499.10000000,2935.86023100,0
2021-03-13 00:36:00,0.39141000,0.39182000,0.39124000,0.39138000,56068.30000000,1615567019999,21955.10641300,79,23503.40000000,9200.64751700,0
2021-03-13 00:37:00,0.39140000,0.39179000,0.39140000,0.39168000,91015.10000000,1615567079999,35648.70472700,98,37910.60000000,14848.04626300,0
2021-03-13 00:38:00,0.39169000,0.39218000,0.39157000,0.39209000,168402.00000000,1615567139999,65984.09985100,139,105103.00000000,41181.13964900,0
2021-03-13 00:39:00,0.39176000,0.39183000,0.39131000,0.39143000,54674.00000000,1615567199999,21409.82047200,98,35291.50000000,13819.66168200,0
2021-03-13 00:40:00,0.39148000,0.39196000,0.39148000,0.39173000,29397.10000000,1615567259999,11517.03848200,55,22002.40000000,8621.54468600,0
2021-03-13 00:41:00,0.39171000,0.39212000,0.39157000,0.39212000,23954.00000000,1615567319999,9389.22440700,61,14767.20000000,5788.42668100,0
2021-03-13 00:42:00,0.39210000,0.39224000,0.39189000,0.39213000,77671.60000000,1615567379999,30452.49043100,62,52244.90000000,20484.50802500,0
2021-03-13 00:43:00,0.39209000,0.39209000,0.39154000,0.39159000,53520.90000000,1615567439999,20964.62326300,61,27352.50000000,10714.07792700,0
2021-03-13 00:44:00,0.39169000,0.39192000,0.39162000,0.39187000,20657.30000000,1615567499999,8093.49765300,40,8219.80000000,3220.90398100,0
2021-03-13 00:45:00,0.39186000,0.39186000,0.39123000,0.39130000,104726.50000000,1615567559999,40995.69553600,86,21596.40000000,8452.69456100,0
2021-03-13 00:46:00,0.39128000,0.39136000,0.39002000,0.39009000,304409.00000000,1615567619999,118878.47242800,193,117454.20000000,45866.98977800,0
2021-03-13 00:47:00,0.39021000,0.39110000,0.39008000,0.39110000,106496.40000000,1615567679999,41581.42392000,60,78610.60000000,30692.40472700,0
2021-03-13 00:48:00,0.39087000,0.39142000,0.39069000,0.39142000,42530.60000000,1615567739999,16630.44370400,55,21590.70000000,8444.66452100,0
2021-03-13 00:49:00,0.39138000,0.39151000,0.39095000,0.39108000,47073.50000000,1615567799999,18419.78416300,53,16301.20000000,6379.40248000,0
2021-03-13 00:50:00,0.39131000,0.39169000,0.39091000,0.39132000,143113.00000000,1615567859999,56006.68669100,96,78570.20000000,30755.22339100,0
2021-03-13 00:51:00,0.39136000,0.39136000,0.39071000,0.39092000,27023.60000000,1615567919999,10564.04939800,27,2647.70000000,1035.95942200,0
2021-03-13 00:52:00,0.39094000,0.39128000,0.39070000,0.39100000,86634.90000000,1615567979999,33866.81327500,81,57230.10000000,22371.75579500,0
2021-03-13 00:53:00,0.39075000,0.39080000,0.39037000,0.39050000,60031.40000000,1615568039999,23452.56920900,61,32974.10000000,12882.20760400,0
2021-03-13 00:54:00,0.39051000,0.39074000,0.39020000,0.39048000,52839.90000000,1615568099999,20627.93380300,67,40641.30000000,15866.33531200,0
2021-03-13 00:55:00,0.39062000,0.39091000,0.39038000,0.39047000,121110.90000000,1615568159999,47306.21189800,104,71733.40000000,28019.03812800,0
2021-03-13 00:56:00,0.39049000,0.39086000,0.39048000,0.39076000,28074.70000000,1615568219999,10971.00782400,37,25432.80000000,9939.02942800,0
2021-03-13 00:57:00,0.39075000,0.39089000,0.39062000,0.39084000,98091.60000000,1615568279999,38333.59698000,48,24195.90000000,9455.83723200,0
2021-03-13 00:58:00,0.39080000,0.39081000,0.39022000,0.39037000,80510.70000000,1615568339999,31435.47076000,74,40138.80000000,15673.20568400,0
2021-03-13 00:59:00,0.39036000,0.39084000,0.39000000,0.39046000,99587.00000000,1615568399999,38880.19824900,77,50320.00000000,19650.34860000,0
2021-03-13 01:00:00,0.39052000,0.39206000,0.39052000,0.39158000,364502.90000000,1615568459999,142668.18842700,207,292462.20000000,114454.57180300,0
2021-03-13 01:01:00,0.39160000,0.39170000,0.39077000,0.39077000,123674.90000000,1615568519999,48397.42678800,105,57577.50000000,22534.66165100,0
2021-03-13 01:02:00,0.39077000,0.39088000,0.39030000,0.39059000,189000.00000000,1615568579999,73831.41659000,105,124521.20000000,48648.45471700,0
2021-03-13 01:03:00,0.39077000,0.39098000,0.39042000,0.39050000,48454.90000000,1615568639999,18933.34122400,42,19051.20000000,7445.95615600,0
2021-03-13 01:04:00,0.39060000,0.39130000,0.39060000,0.39084000,142411.30000000,1615568699999,55690.27162200,89,86310.00000000,33756.18519200,0
2021-03-13 01:05:00,0.39075000,0.39142000,0.39075000,0.39092000,72097.00000000,1615568759999,28199.63927900,73,39164.10000000,15321.60397400,0
2021-03-13 01:06:00,0.39118000,0.39119000,0.39074000,0.39090000,45543.30000000,1615568819999,17802.35330900,44,23389.30000000,9143.18110300,0
